0.001604,115.254.106.206,172.16.0.137,6
0.000019,172.16.0.137,115.254.106.206,6
0.00798,115.254.106.206,172.16.0.137,6
0.004846,115.254.106.206,172.16.0.137,6
0.000014,172.16.0.137,115.254.106.206,6
0.001589,115.254.106.206,172.16.0.137,6
0.003224,115.254.106.206,172.16.0.137,6
0.000021,172.16.0.137,115.254.106.206,6
0.006356,115.254.106.206,172.16.0.137,6
0.003178,115.254.106.206,172.16.0.137,6
0.000032,172.16.0.137,115.254.106.206,6
0.004799,115.254.106.206,172.16.0.137,6
0.00002,172.16.0.137,115.254.106.206,6
0.009547,115.254.106.206,172.16.0.137,6
0.003178,115.254.106.206,172.16.0.137,6
0.00002,172.16.0.137,115.254.106.206,6
0.007964,115.254.106.206,172.16.0.137,6
0.001599,115.254.106.206,172.16.0.137,6
0.000008,172.16.0.137,115.254.106.206,6
0.008042,115.254.106.206,172.16.0.137,6
0.001557,115.254.106.206,172.16.0.137,6
0.000009,172.16.0.137,115.254.106.206,6
0.006417,115.254.106.206,172.16.0.137,6
0.001573,115.254.106.206,172.16.0.137,6
0.00003,172.16.0.137,115.254.106.206,6
0.007972,115.254.106.206,172.16.0.137,6
0.001577,115.254.106.206,172.16.0.137,6
0.000019,172.16.0.137,115.254.106.206,6
0.009602,115.254.106.206,172.16.0.137,6
0.001584,115.254.106.206,172.16.0.137,6
0.000018,172.16.0.137,115.254.106.206,6
0.001621,115.254.106.206,172.16.0.137,6
0.007992,115.254.106.206,172.16.0.137,6
0.000017,172.16.0.137,115.254.106.206,6
0.001617,115.254.106.206,172.16.0.137,6
0.003194,115.254.106.206,172.16.0.137,6
0.000029,172.16.0.137,115.254.106.206,6
0.0016,115.254.106.206,172.16.0.137,6
0.003148,115.254.106.206,172.16.0.137,6
0.000015,172.16.0.137,115.254.106.206,6
0.001591,115.254.106.206,172.16.0.137,6
0.003273,115.254.106.206,172.16.0.137,6
0.00001,172.16.0.137,115.254.106.206,6
0.001529,115.254.106.206,172.16.0.137,6
0.007972,115.254.106.206,172.16.0.137,6
0.000019,172.16.0.137,115.254.106.206,6
0.001586,115.254.106.206,172.16.0.137,6
0.005492,115.254.106.206,172.16.0.137,6
0.000014,172.16.0.137,115.254.106.206,6
0.000869,115.254.106.206,172.16.0.137,6
0.003673,115.254.106.206,172.16.0.137,6
0.000028,172.16.0.137,115.254.106.206,6
0.001118,115.254.106.206,172.16.0.137,6
0.004834,115.254.106.206,172.16.0.137,6
0.000026,172.16.0.137,115.254.106.206,6
0.001737,115.254.106.206,172.16.0.137,6
0.00741,115.254.106.206,172.16.0.137,6
0.000021,172.16.0.137,115.254.106.206,6
0.000375,115.254.106.206,172.16.0.137,6
0.004815,115.254.106.206,172.16.0.137,6
0.000013,172.16.0.137,115.254.106.206,6
0.00155,115.254.106.206,172.16.0.137,6
0.003235,115.254.106.206,172.16.0.137,6
0.000009,172.16.0.137,115.254.106.206,6
0.001596,115.254.106.206,172.16.0.137,6
0.006454,115.254.106.206,172.16.0.137,6
0.00005,172.16.0.137,115.254.106.206,6
0.001501,115.254.106.206,172.16.0.137,6
0.000024,172.16.0.137,115.254.106.206,6
0.001612,115.254.106.206,172.16.0.137,6
0.003148,115.254.106.206,172.16.0.137,6
0.000026,172.16.0.137,115.254.106.206,6
0.001586,115.254.106.206,172.16.0.137,6
0.001627,115.254.106.206,172.16.0.137,6
0.000014,172.16.0.137,115.254.106.206,6
0.014156,115.254.106.206,172.16.0.137,6
0.000024,172.16.0.137,115.254.106.206,6
0.000386,115.254.106.206,172.16.0.137,6
0.000046,172.16.0.137,115.254.106.206,6
0.006152,115.254.106.206,172.16.0.137,6
0.000034,172.16.0.137,115.254.106.206,6
0.003198,115.254.106.206,172.16.0.137,6
0.001645,115.254.106.206,172.16.0.137,6
0.000031,172.16.0.137,115.254.106.206,6
0.006334,115.254.106.206,172.16.0.137,6
0.00002,172.16.0.137,115.254.106.206,6
0.005056,115.254.106.206,172.16.0.137,6
0.000021,172.16.0.137,115.254.106.206,6
0.007711,115.254.106.206,172.16.0.137,6
0.001506,115.254.106.206,172.16.0.137,6
0.000014,172.16.0.137,115.254.106.206,6
0.004846,115.254.106.206,172.16.0.137,6
0.001562,115.254.106.206,172.16.0.137,6
0.000011,172.16.0.137,115.254.106.206,6
0.006415,115.254.106.206,172.16.0.137,6
0.000018,115.254.106.206,172.16.0.137,6
0.000008,172.16.0.137,115.254.106.206,6
0.004755,115.254.106.206,172.16.0.137,6
0.001588,115.254.106.206,172.16.0.137,6
